date_day,n_msgs,n_msgs_ma7
2024-04-08 00:00:00+00:00,14,36.142857142857146
2024-04-09 00:00:00+00:00,9,36.0
2024-04-10 00:00:00+00:00,4,31.142857142857142
2024-04-11 00:00:00+00:00,13,27.714285714285715
2024-04-12 00:00:00+00:00,1,26.285714285714285
2024-04-13 00:00:00+00:00,7,15.714285714285714
2024-04-14 00:00:00+00:00,1,7.0
2024-04-15 00:00:00+00:00,4,5.571428571428571
2024-04-16 00:00:00+00:00,7,5.285714285714286
2024-04-17 00:00:00+00:00,4,5.285714285714286
2024-04-18 00:00:00+00:00,12,5.142857142857143
2024-04-19 00:00:00+00:00,6,5.857142857142857
2024-04-20 00:00:00+00:00,2,5.142857142857143
2024-04-21 00:00:00+00:00,3,5.428571428571429
2024-04-22 00:00:00+00:00,7,5.857142857142857
2024-04-24 00:00:00+00:00,15,7.0
2024-04-25 00:00:00+00:00,13,8.285714285714286
2024-04-26 00:00:00+00:00,16,8.857142857142858
2024-04-27 00:00:00+00:00,9,9.285714285714286
2024-04-28 00:00:00+00:00,4,9.571428571428571
2024-04-29 00:00:00+00:00,11,10.714285714285714
2024-04-30 00:00:00+00:00,15,11.857142857142858
2024-05-01 00:00:00+00:00,18,12.285714285714286
2024-05-02 00:00:00+00:00,13,12.285714285714286
2024-05-03 00:00:00+00:00,1,10.142857142857142
2024-05-04 00:00:00+00:00,1,9.0
2024-05-05 00:00:00+00:00,1,8.571428571428571
2024-05-06 00:00:00+00:00,75,17.714285714285715
2024-05-07 00:00:00+00:00,29,19.714285714285715
2024-05-08 00:00:00+00:00,5,17.857142857142858
2024-05-09 00:00:00+00:00,6,16.857142857142858
2024-05-10 00:00:00+00:00,9,18.0
2024-05-11 00:00:00+00:00,5,18.571428571428573
2024-05-12 00:00:00+00:00,1,18.571428571428573
2024-05-13 00:00:00+00:00,2,8.142857142857142
2024-05-14 00:00:00+00:00,3,4.428571428571429
2024-05-15 00:00:00+00:00,21,6.714285714285714
2024-05-16 00:00:00+00:00,9,7.142857142857143
2024-05-17 00:00:00+00:00,13,7.714285714285714
2024-05-18 00:00:00+00:00,11,8.571428571428571
2024-05-19 00:00:00+00:00,7,9.428571428571429
2024-05-20 00:00:00+00:00,14,11.142857142857142
2024-05-21 00:00:00+00:00,20,13.571428571428571
2024-05-22 00:00:00+00:00,8,11.714285714285714
2024-05-23 00:00:00+00:00,5,11.142857142857142
2024-05-24 00:00:00+00:00,2,9.571428571428571
2024-05-25 00:00:00+00:00,12,9.714285714285714
2024-05-27 00:00:00+00:00,2,9.0
2024-05-28 00:00:00+00:00,2,7.285714285714286
2024-06-01 00:00:00+00:00,6,5.285714285714286
2024-06-02 00:00:00+00:00,5,4.857142857142857
2024-06-03 00:00:00+00:00,2,4.428571428571429
2024-06-04 00:00:00+00:00,4,4.714285714285714
2024-06-05 00:00:00+00:00,3,3.4285714285714284
2024-06-06 00:00:00+00:00,3,3.5714285714285716
2024-06-07 00:00:00+00:00,1,3.4285714285714284
2024-06-09 00:00:00+00:00,1,2.7142857142857144
2024-06-10 00:00:00+00:00,1,2.142857142857143
2024-06-11 00:00:00+00:00,7,2.857142857142857
2024-06-12 00:00:00+00:00,3,2.7142857142857144
2024-06-13 00:00:00+00:00,3,2.7142857142857144
2024-06-14 00:00:00+00:00,1,2.4285714285714284
2024-06-15 00:00:00+00:00,2,2.5714285714285716
2024-06-16 00:00:00+00:00,1,2.5714285714285716
2024-06-17 00:00:00+00:00,5,3.142857142857143
2024-06-18 00:00:00+00:00,13,4.0
2024-06-19 00:00:00+00:00,7,4.571428571428571
2024-06-20 00:00:00+00:00,11,5.714285714285714
2024-06-21 00:00:00+00:00,10,7.0
2024-06-22 00:00:00+00:00,4,7.285714285714286
2024-06-23 00:00:00+00:00,2,7.428571428571429
2024-06-24 00:00:00+00:00,7,7.714285714285714
2024-06-25 00:00:00+00:00,2,6.142857142857143
2024-06-26 00:00:00+00:00,11,6.714285714285714
2024-06-27 00:00:00+00:00,6,6.0
2024-06-28 00:00:00+00:00,7,5.571428571428571
2024-06-29 00:00:00+00:00,3,5.428571428571429
2024-06-30 00:00:00+00:00,2,5.428571428571429
2024-07-01 00:00:00+00:00,3,4.857142857142857
2024-07-02 00:00:00+00:00,16,6.857142857142857
2024-07-03 00:00:00+00:00,7,6.285714285714286
2024-07-04 00:00:00+00:00,7,6.428571428571429
2024-07-06 00:00:00+00:00,2,5.714285714285714
2024-07-07 00:00:00+00:00,7,6.285714285714286
2024-07-08 00:00:00+00:00,2,6.285714285714286
2024-07-09 00:00:00+00:00,3,6.285714285714286
2024-07-10 00:00:00+00:00,3,4.428571428571429
2024-07-11 00:00:00+00:00,5,4.142857142857143
2024-07-12 00:00:00+00:00,21,6.142857142857143
2024-07-13 00:00:00+00:00,11,7.428571428571429
2024-07-15 00:00:00+00:00,3,6.857142857142857
2024-07-16 00:00:00+00:00,3,7.0
2024-07-17 00:00:00+00:00,3,7.0
2024-07-18 00:00:00+00:00,7,7.571428571428571
2024-07-19 00:00:00+00:00,7,7.857142857142857
2024-07-20 00:00:00+00:00,6,5.714285714285714
2024-07-21 00:00:00+00:00,11,5.714285714285714
2024-07-22 00:00:00+00:00,4,5.857142857142857
2024-07-23 00:00:00+00:00,9,6.714285714285714
2024-07-24 00:00:00+00:00,7,7.285714285714286
2024-07-25 00:00:00+00:00,31,10.714285714285714
2024-07-26 00:00:00+00:00,11,11.285714285714286
2024-07-27 00:00:00+00:00,3,10.857142857142858
2024-07-28 00:00:00+00:00,2,9.571428571428571
2024-07-29 00:00:00+00:00,4,9.571428571428571
2024-07-30 00:00:00+00:00,20,11.142857142857142
2024-07-31 00:00:00+00:00,7,11.142857142857142
2024-08-01 00:00:00+00:00,16,9.0
2024-08-02 00:00:00+00:00,46,14.0
2024-08-03 00:00:00+00:00,102,28.142857142857142
2024-08-04 00:00:00+00:00,15,30.0
2024-08-05 00:00:00+00:00,19,32.142857142857146
2024-08-06 00:00:00+00:00,139,49.142857142857146
2024-08-07 00:00:00+00:00,59,56.57142857142857
2024-08-08 00:00:00+00:00,25,57.857142857142854
2024-08-09 00:00:00+00:00,18,53.857142857142854
2024-08-10 00:00:00+00:00,5,40.0
2024-08-11 00:00:00+00:00,3,38.285714285714285
2024-08-12 00:00:00+00:00,50,42.714285714285715
