community,topic,count,pct
7.0,5,2,0.07142857142857142
7.0,1,1,0.03571428571428571
7.0,4,1,0.03571428571428571
7.0,9,1,0.03571428571428571
7.0,10,1,0.03571428571428571
8.0,11,11,0.2619047619047619
8.0,3,9,0.21428571428571427
8.0,6,6,0.14285714285714285
8.0,5,4,0.09523809523809523
8.0,8,4,0.09523809523809523
8.0,9,3,0.07142857142857142
8.0,0,2,0.047619047619047616
8.0,1,1,0.023809523809523808
8.0,4,1,0.023809523809523808
8.0,7,1,0.023809523809523808
9.0,3,12,0.3
9.0,8,11,0.275
9.0,0,4,0.1
9.0,7,4,0.1
9.0,5,3,0.075
9.0,6,2,0.05
9.0,10,2,0.05
9.0,11,2,0.05
10.0,3,1,0.5
10.0,6,1,0.5
11.0,11,2,1.0
12.0,2,34,0.38202247191011235
12.0,3,24,0.2696629213483146
12.0,6,9,0.10112359550561797
12.0,1,7,0.07865168539325842
12.0,7,5,0.056179775280898875
12.0,8,3,0.033707865168539325
12.0,11,3,0.033707865168539325
12.0,0,1,0.011235955056179775
12.0,5,1,0.011235955056179775
12.0,9,1,0.011235955056179775
12.0,10,1,0.011235955056179775
14.0,3,1,1.0
15.0,3,31,0.43661971830985913
15.0,6,10,0.14084507042253522
15.0,0,9,0.1267605633802817
15.0,8,8,0.11267605633802817
15.0,9,3,0.04225352112676056
15.0,1,2,0.028169014084507043
15.0,5,2,0.028169014084507043
15.0,7,2,0.028169014084507043
15.0,11,2,0.028169014084507043
15.0,4,1,0.014084507042253521
15.0,10,1,0.014084507042253521
16.0,11,1,1.0
17.0,10,1,1.0
20.0,0,1,1.0
23.0,3,14,0.5833333333333334
23.0,0,5,0.20833333333333334
23.0,4,1,0.041666666666666664
23.0,6,1,0.041666666666666664
23.0,8,1,0.041666666666666664
23.0,10,1,0.041666666666666664
23.0,11,1,0.041666666666666664
24.0,0,3,0.375
24.0,3,2,0.25
24.0,1,1,0.125
24.0,4,1,0.125
24.0,7,1,0.125
25.0,0,2,0.6666666666666666
25.0,7,1,0.3333333333333333
26.0,3,3,0.2727272727272727
26.0,11,3,0.2727272727272727
