user,pct_pos,pct_neu,pct_neg,pct_na,n
wichochicken,1.0,0.0,0.0,0.0,1
xajo1970,1.0,0.0,0.0,0.0,1
y_piramide,1.0,0.0,0.0,0.0,1
MariaRo33203569,0.6666666666666666,0.0,0.3333333333333333,0.0,3
au_cdl,0.6666666666666666,0.3333333333333333,0.0,0.0,3
jrruizh,0.6666666666666666,0.3333333333333333,0.0,0.0,3
kikin1957,0.6666666666666666,0.0,0.3333333333333333,0.0,3
se_cardona3,0.6666666666666666,0.3333333333333333,0.0,0.0,3
Padutout_,0.5,0.3333333333333333,0.16666666666666666,0.0,6
Mcfrsa,0.5,0.5,0.0,0.0,4
AnonGTReloaded,0.5,0.0,0.5,0.0,2
AusenteChapinGt,0.5,0.5,0.0,0.0,2
CARLOSHERNAND61,0.5,0.5,0.0,0.0,2
CNNEE,0.5,0.5,0.0,0.0,2
EROLOSA,0.5,0.5,0.0,0.0,2
Eduardo25744843,0.5,0.5,0.0,0.0,2
EleccTorr,0.5,0.5,0.0,0.0,2
Fer_Ch085,0.5,0.0,0.5,0.0,2
HenryRe43436441,0.5,0.0,0.5,0.0,2
JosJcaalmor,0.5,0.5,0.0,0.0,2
Luismoralesgt,0.5,0.5,0.0,0.0,2
OttoAReyesEstr2,0.5,0.5,0.0,0.0,2
PabloElopgt,0.5,0.5,0.0,0.0,2
Panchopa1,0.5,0.0,0.5,0.0,2
Poe0591,0.5,0.5,0.0,0.0,2
Rev0WG,0.5,0.5,0.0,0.0,2
RobSantaFe,0.5,0.5,0.0,0.0,2
RonaldM05161013,0.5,0.5,0.0,0.0,2
SelvinF78069837,0.5,0.5,0.0,0.0,2
TRCHIEF7,0.5,0.5,0.0,0.0,2
TecoAsturias,0.5,0.0,0.5,0.0,2
TonyRoteiro,0.5,0.5,0.0,0.0,2
aguayjoma,0.5,0.0,0.5,0.0,2
b3nl0rd,0.5,0.0,0.5,0.0,2
carlomarcogt,0.5,0.5,0.0,0.0,2
chapinito90,0.5,0.5,0.0,0.0,2
chikistrickys,0.5,0.5,0.0,0.0,2
contreras_tani,0.5,0.5,0.0,0.0,2
daniel_aag24,0.5,0.5,0.0,0.0,2
de_don61347,0.5,0.0,0.5,0.0,2
dianaresident4,0.5,0.5,0.0,0.0,2
dragongt2022,0.5,0.5,0.0,0.0,2
eddyarredondo23,0.5,0.5,0.0,0.0,2
eduardo16579,0.5,0.5,0.0,0.0,2
fvalenzuela87,0.5,0.0,0.5,0.0,2
hijo_depirulina,0.5,0.0,0.5,0.0,2
ladyjustice85,0.5,0.5,0.0,0.0,2
lucho130391,0.5,0.5,0.0,0.0,2
marcos42209,0.5,0.5,0.0,0.0,2
miguel_artiga,0.5,0.5,0.0,0.0,2
mjcolman,0.5,0.5,0.0,0.0,2
rooavila,0.5,0.5,0.0,0.0,2
vm7natalia,0.5,0.5,0.0,0.0,2
DrGiammattei,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,9
RendonArana,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,7
luisficarpediem,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,7
ErwinRobles2,0.4,0.4,0.2,0.0,10
PlazaPublicaGT,0.4,0.4,0.2,0.0,10
EstuiLozano69,0.4,0.2,0.4,0.0,5
JudithColnJ1,0.4,0.4,0.2,0.0,5
