id,date,user,user_id,user_displayname,user_rawDescription,user_created,user_followersCount,user_friendsCount,user_statusesCount,user_favouritesCount,user_listedCount,user_mediaCount,user_location,user_protected,user_verified,user_blue,user_blueType,user_descriptionLinks,user_pinnedIds,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,bookmarkedCount,conversationId,hashtags,cashtags,mentionedUsers_ids,mentionedUsers_usernames,viewCount,quotedTweet_id,quotedTweet_date,quotedTweet_user_id,quotedTweet_user_username,place,inReplyToTweetId,inReplyToUser,sourceLabel,media_photos_count,media_videos_count,media_animated_count
1811924175831072977,2024-07-13 00:42:42+00:00,ldubon63,2732768727,Jose Luis Dubon,,2014-08-03 21:54:42+00:00,3,42,808,92,0,1,,,False,False,,0,,es,@oco_motora @traficogt Tan grande y con mucha experiencia parlamentaria y es un sonso.,0,0,1,0,0,1811585938553794680,,,"3365924892,93938886","oco_motora,traficogt",66.0,,,,,,1811585938553794680,oco_motora,Twitter for Android,0,0,0
1811911482445115858,2024-07-12 23:52:15+00:00,fercito424,36181798,wichito XD,soy chingon y que,2009-04-28 21:02:24+00:00,143,629,28155,19954,0,562,,,False,False,,1,,es,@danydoggy @traficogt Para que el estado de calamidad? Disculpen mi ignorancia,0,0,0,0,0,1811538734493352402,,,"425425943,93938886","danydoggy,traficogt",81.0,,,,,,1811538734493352402,danydoggy,Twitter for Android,0,0,0
1811904702591668651,2024-07-12 23:25:19+00:00,MariaIsabelG65,1553226399980347393,Maria Isabel García Alarcón de Sánchez,Soy una madre Twittera,2022-07-30 03:50:32+00:00,6,48,493,1762,0,57,,,False,False,,0,,es,@ccdaoficialgt @traficogt Ya nos cansamos de ver tantos mareros entacuchados,0,1,3,0,0,1811817673728065649,,,"1258192012928528386,93938886","ccdaoficialgt,traficogt",110.0,,,,,,1811817673728065649,ccdaoficialgt,Twitter for iPhone,0,0,0
1811869463689724062,2024-07-12 21:05:17+00:00,Cohen13Henry,4907263352,Henry Cohen,,2016-02-14 15:38:15+00:00,35,90,1100,3014,1,0,Guatemala,,False,False,,0,,es,"@josejulianGuate @traficogt Y todo el cerotal quiere votar por esta farsante!!🤦🏻‍♂️
REBAÑO DE IDIOTAS!!🤣🤣",0,0,0,0,0,1811837796010852605,,,"1677330154694103042,93938886","josejulianGuate,traficogt",60.0,,,,,,1811837796010852605,josejulianGuate,Twitter for iPhone,0,0,0
1811869182545240363,2024-07-12 21:04:10+00:00,traficogt,93938886,traficoGT,Noticias de ciudad de Guatemala,2009-12-01 20:42:19+00:00,314368,137,52385,3471,291,1292,Guatemala,,False,False,,0,,es,Otra que baila con los del pacto pero que quiere darse baños de pureza.  Solo es una HDP+,0,3,12,0,0,1811869182545240363,,,,,1076.0,1811837796010852605,2024-07-12 18:59:27+00:00,1677330154694103042,josejulianGuate,,,,Twitter for Android,0,0,0
1811837796010852605,2024-07-12 18:59:27+00:00,josejulianGuate,1677330154694103042,José Julián Domínguez,Dejemos de interpretar al mundo y comencemos a transformarlo 🕑,2023-07-07 14:54:26+00:00,316,61,2063,1649,0,369,,,False,False,,1,1825883348633276518,es,"Ayer voto en contra del Estado de Calamidad, y hoy ya anda exigiendo resultados. https://t.co/9bYaSvZik7",259,547,1825,55,13,1811837796010852605,,,,,81234.0,,,,,,,,Twitter for Android,1,0,0
1811868791728443489,2024-07-12 21:02:37+00:00,traficogt,93938886,traficoGT,Noticias de ciudad de Guatemala,2009-12-01 20:42:19+00:00,314368,137,52385,3471,291,1292,Guatemala,,False,False,,0,,es,Estos diputados son una bazofia.,0,0,0,0,0,1811868791728443489,,,,,833.0,1811513880176193790,2024-07-11 21:32:19+00:00,40256008,EmisorasUnidas,,,,Twitter for Android,0,0,0
1811513880176193790,2024-07-11 21:32:19+00:00,EmisorasUnidas,40256008,Emisoras Unidas,"Primera en Noticias, Primera en Deportes. Sigue toda la información noticiosa de Guatemala y el Mundo.",2009-05-15 14:55:55+00:00,1583157,96,817375,4854,2930,391030,Guatemala,,False,True,,1,,es,"#AHORA Byron Rodríguez de la bancada Todos, informa que presentarán una solicitud de interpelación contra el ministro de Comunicaciones, Félix Alvarado. Vía @noel_solis https://t.co/sGdVSlxDnZ",98,18,96,17,3,1811513880176193790,AHORA,,446470118,noel_solis,28894.0,,,,,,,,TweetDeck Web App,0,1,0
1811867262552281180,2024-07-12 20:56:32+00:00,cedr2506,2518144531,CEDR,,2014-05-23 15:48:43+00:00,231,171,72903,62979,0,588,,,False,False,,0,,es,"@traficogt Y arzu porque no fue, si no ahí en esa foto estaría posando",0,0,0,0,0,1811852028810797098,,,93938886,traficogt,53.0,,,,,,1811852028810797098,traficogt,Twitter Web App,0,0,0
1811855970198323376,2024-07-12 20:11:40+00:00,MariaIsabelG65,1553226399980347393,Maria Isabel García Alarcón de Sánchez,Soy una madre Twittera,2022-07-30 03:50:32+00:00,6,48,493,1762,0,57,,,False,False,,0,,es,@ManfredoGuate @traficogt Alan Rodriguez y su partido vamos así pasó la gruñida https://t.co/FEatISFCdn,0,1,4,0,0,1811775609284018228,,,"67033348,93938886","ManfredoGuate,traficogt",133.0,,,,,,1811775609284018228,ManfredoGuate,Twitter for iPhone,0,0,1
1811855935096197466,2024-07-12 20:11:32+00:00,MarioChiu2,1131012993536405504,Mario Chiu,"Por una Guatemala mejor.
Vamos con todo.",2019-05-22 01:44:45+00:00,840,369,232296,529250,0,11115,,,False,False,,0,,es,@traficogt La escoria del congreso en esa foto.,0,0,0,0,0,1811852028810797098,,,93938886,traficogt,47.0,,,,,,1811852028810797098,traficogt,Twitter for Android,0,0,0
1811854502703824924,2024-07-12 20:05:50+00:00,MariaIsabelG65,1553226399980347393,Maria Isabel García Alarcón de Sánchez,Soy una madre Twittera,2022-07-30 03:50:32+00:00,6,48,493,1762,0,57,,,False,False,,0,,es,"@ManfredoGuate @traficogt El famoso choche Rodríguez se volvió loco gruñido en el Congreso   Según dicen algunas fuentes se le fueron unos contratos jugado de las manos  calles Palin , Escuintla, va a seguir gruñendo.",0,4,12,1,0,1811775609284018228,,,"67033348,93938886","ManfredoGuate,traficogt",216.0,,,,,,1811775609284018228,ManfredoGuate,Twitter for iPhone,0,0,0
1811852028810797098,2024-07-12 19:56:00+00:00,traficogt,93938886,traficoGT,Noticias de ciudad de Guatemala,2009-12-01 20:42:19+00:00,314368,137,52385,3471,291,1292,Guatemala,,False,False,,0,,es,Y lo que el gobierno tiene que hacer es cerrar totalmente el tema de la compra de votos.  Que se jodan.  Ya aprenderemos a votar con la cabeza cuando no hayan pachangas electorales y bolsas con comida.,2,31,52,0,0,1811852028810797098,,,,,1528.0,1811817673728065649,2024-07-12 17:39:30+00:00,1258192012928528386,ccdaoficialgt,,,,Twitter for Android,0,0,0
